Date,Open,High,Low,Close,Volume
21-04-2022 15:30,444.5,449.35,441.05,448.05,14124872
22-04-2022 15:30,442.05,447.25,438,438.85,14362036
25-04-2022 15:30,432.75,436,423.15,425.15,14729009
26-04-2022 15:30,433.9,437.45,431.6,434.9,13577513
27-04-2022 15:30,429.25,432.95,425.1,430.25,13701069
28-04-2022 15:30,434.8,439.2,430.8,436.05,13875650
29-04-2022 15:30,440.2,447.75,436,437.6,21991752
02-05-2022 15:30,437.95,442.95,428.5,432.85,18945234
04-05-2022 15:30,437.95,440.6,420.7,423.5,14934742
05-05-2022 15:30,429,434,423.7,426.3,12240729
06-05-2022 15:30,418.85,420.2,407,408.55,25142225
09-05-2022 15:30,407.15,407.4,395,403.95,18076956
10-05-2022 15:30,400,408.5,389.6,391.75,16540303
11-05-2022 15:30,396,397,377.55,388.15,29215175
12-05-2022 15:30,382,384.65,366.2,372.3,33511538
13-05-2022 15:30,387,419.35,387,404.3,71425747
16-05-2022 15:30,411.9,411.9,396.25,405.35,24938704
17-05-2022 15:30,408.4,425.65,405,424.15,24651585
18-05-2022 15:30,424,427.35,414.05,415.15,20490516
19-05-2022 15:30,400,406.8,396.2,398.65,17706724
20-05-2022 15:30,410,421.4,410,418,23504236
23-05-2022 15:30,421.65,431.15,419.55,421.45,16345308
24-05-2022 15:30,423.9,427.5,416,425.75,14525617
25-05-2022 15:30,428.45,429,413.45,417,13540006
26-05-2022 15:30,422,422.65,405,420.65,17712299
27-05-2022 15:30,426.05,433.25,425.2,429.6,16867431
30-05-2022 15:30,437,445.2,436,442.4,18500266
31-05-2022 15:30,443.95,449.5,440.4,443.55,22308219
01-06-2022 15:30,445.1,446,439.6,444.6,11930669
02-06-2022 15:30,445,445.6,435.65,439.15,12742438
03-06-2022 15:30,444.9,445.05,430.5,431.9,12780122
06-06-2022 15:30,427.9,433.95,424.6,432.35,11896105
07-06-2022 15:30,432.5,438.2,429.1,435.85,11153869
08-06-2022 15:30,438.7,440.4,432,435.65,12844475
09-06-2022 15:30,431.9,435.65,426.1,428.5,13043367
10-06-2022 15:30,423,428.85,422,428.05,11914234
13-06-2022 15:30,414.9,418.15,405.6,406.7,17442641
14-06-2022 15:30,403,411.85,397.7,405.15,19626627
15-06-2022 15:30,410,416.4,407.45,414.1,15192826
16-06-2022 15:30,420,420.9,390.1,392.95,22261032
17-06-2022 15:30,387.95,394.45,382.65,388.95,24824899
20-06-2022 15:30,390.55,392.95,376.65,382.7,17049013
21-06-2022 15:30,389,399,387,397.6,14743366
22-06-2022 15:30,396.4,397,390.5,393.1,12426604
23-06-2022 15:30,396.3,409.9,394.55,407.2,26514004
24-06-2022 15:30,410,412.85,406.15,409.3,14806456
27-06-2022 15:30,417.55,419.45,412.35,414.5,12018949
28-06-2022 15:30,411.3,418.2,409.15,417.1,13238339
29-06-2022 15:30,412.05,419.9,411.55,416.95,13104313
30-06-2022 15:30,418.3,424,410,411.8,20121916
01-07-2022 15:30,410.65,414.6,402.3,412.7,14725989
04-07-2022 15:30,411.55,414.9,405,408.45,11525133
05-07-2022 15:30,415,418.8,410.2,412,16771012
06-07-2022 15:30,414,417.3,410.65,416.35,12196920
07-07-2022 15:30,419.9,432.95,419.3,430.85,17616800
08-07-2022 15:30,436.25,443.85,429.3,441.55,23730027
11-07-2022 15:30,438.05,441.2,433.45,437.05,12621150
12-07-2022 15:30,433,435,428.15,430.55,9518822
13-07-2022 15:30,432.7,435.85,425.65,427.1,10181698
14-07-2022 15:30,428,431.25,423.3,428.05,10744547
15-07-2022 15:30,430.65,441.75,429.7,440.2,15774084
18-07-2022 15:30,443.95,453.8,443.2,450.9,21185764
19-07-2022 15:30,446.75,451.85,444.45,449.05,11553440
20-07-2022 15:30,454.35,460.75,451.75,453.45,17154184
21-07-2022 15:30,452.95,455.5,450.1,454.85,10931800
22-07-2022 15:30,456.6,459.95,452.3,454.9,10340910
25-07-2022 15:30,456,457.6,446.3,449.55,12505062
26-07-2022 15:30,448.7,448.7,439.75,441.15,11563528
27-07-2022 15:30,441.15,445,436.1,444.05,10081023
28-07-2022 15:30,440.25,449.25,427.4,442.25,36380444
29-07-2022 15:30,445.15,452.7,445.15,449.6,16004096
01-08-2022 15:30,451.95,481,451.05,479.2,43084536
02-08-2022 15:30,478.9,479.9,469.25,476.25,19065689
03-08-2022 15:30,475,476.25,459.6,467.8,19125906
04-08-2022 15:30,473.15,473.95,456.45,468.9,18540405
05-08-2022 15:30,468.9,472.9,464,465.25,11917799
08-08-2022 15:30,466,471.9,464.45,468.25,10561754
10-08-2022 15:30,470,477.2,463.35,475.55,13360759
11-08-2022 15:30,482.55,485,475.6,476.65,12777503
12-08-2022 15:30,475.75,481.45,470,477.55,13482890
16-08-2022 15:30,479.6,491.4,478.2,489.85,16796376
17-08-2022 15:30,490.9,494.4,484.2,485.4,15948755
18-08-2022 15:30,484,486.8,479.25,484.8,12070974
19-08-2022 15:30,486.75,488.1,468.1,471,16636593
22-08-2022 15:30,468.5,468.95,452.55,454.6,15050653
23-08-2022 15:30,449,462.1,447.6,460.45,17779238
24-08-2022 15:30,459,464.9,457.7,463.2,12214113
25-08-2022 15:30,466,468.8,457.4,459.2,11255809
26-08-2022 15:30,465,470.45,463.95,465.05,11252560
29-08-2022 15:30,451,456.9,450.15,453.35,11647725
30-08-2022 15:30,458.65,472.4,457.1,471.1,14421066
01-09-2022 15:30,462.5,474.4,462.15,466.9,13385159
